lat,lon,time_value,date_value
47.04229,8.320989,08:00:50,2023-05-28
47.04237,8.320986,08:01:01,2023-05-28
47.04244,8.320979,08:01:11,2023-05-28
47.0425,8.32097,08:01:21,2023-05-28
47.04254,8.320968,08:01:31,2023-05-28
47.04257,8.320965,08:01:52,2023-05-28
47.04267,8.320934,08:02:02,2023-05-28
47.04275,8.320926,08:02:13,2023-05-28
47.04282,8.320919,08:02:23,2023-05-28
47.04289,8.320915,08:02:33,2023-05-28
47.04297,8.320906,08:02:45,2023-05-28
47.04303,8.320906,08:02:54,2023-05-28
47.04311,8.320904,08:03:04,2023-05-28
47.04319,8.320909,08:03:14,2023-05-28
47.04327,8.320915,08:03:25,2023-05-28
47.04334,8.320919,08:03:35,2023-05-28
47.04341,8.32093,08:03:47,2023-05-28
47.04348,8.320944,08:03:56,2023-05-28
47.04354,8.320954,08:04:06,2023-05-28
47.04359,8.320963,08:04:16,2023-05-28
47.04364,8.320971,08:04:27,2023-05-28
47.04372,8.320982,08:04:37,2023-05-28
47.0438,8.320992,08:04:49,2023-05-28
47.04387,8.321006,08:04:58,2023-05-28
47.04393,8.321017,08:05:08,2023-05-28
47.044,8.321031,08:05:18,2023-05-28
47.04406,8.321044,08:05:28,2023-05-28
47.04413,8.321056,08:05:39,2023-05-28
47.04418,8.321065,08:05:59,2023-05-28
47.04431,8.321092,08:06:09,2023-05-28
47.04435,8.3211,08:06:20,2023-05-28
47.0444,8.321109,08:06:30,2023-05-28
47.04444,8.321118,08:06:40,2023-05-28
47.04448,8.321127,08:06:52,2023-05-28
47.04453,8.321136,08:07:01,2023-05-28
47.04457,8.321143,08:07:11,2023-05-28
47.04464,8.321255,08:07:21,2023-05-28
47.04465,8.321257,08:07:31,2023-05-28
47.04472,8.321214,08:07:42,2023-05-28
47.04477,8.321201,08:07:54,2023-05-28
47.0448,8.321196,08:08:02,2023-05-28
47.04488,8.321386,08:08:13,2023-05-28
47.0449,8.321572,08:08:23,2023-05-28
47.04492,8.321644,08:08:33,2023-05-28
47.04496,8.321709,08:08:43,2023-05-28
47.04498,8.321688,08:08:55,2023-05-28
47.04501,8.321622,08:09:04,2023-05-28
47.04501,8.321605,08:09:14,2023-05-28
47.04502,8.321596,08:09:25,2023-05-28
47.04502,8.32159,08:09:35,2023-05-28
47.04502,8.321586,08:09:45,2023-05-28
47.04502,8.321582,08:09:57,2023-05-28
47.04502,8.32158,08:10:06,2023-05-28
47.04502,8.321578,08:10:16,2023-05-28
47.04502,8.321577,08:10:26,2023-05-28
47.04502,8.321573,08:10:36,2023-05-28
47.04502,8.32157,08:10:47,2023-05-28
47.04501,8.321569,08:10:58,2023-05-28
47.04501,8.321569,08:11:07,2023-05-28
47.04501,8.321568,08:11:17,2023-05-28
47.04502,8.321567,08:11:27,2023-05-28
47.04502,8.321567,08:11:38,2023-05-28
47.04502,8.321567,08:11:48,2023-05-28
47.04502,8.321566,08:12:00,2023-05-28
47.04502,8.321564,08:12:09,2023-05-28
47.04502,8.321563,08:12:19,2023-05-28
47.04502,8.32158,08:12:29,2023-05-28
47.04504,8.321706,08:12:39,2023-05-28
47.04505,8.32188,08:12:49,2023-05-28
47.04504,8.322079,08:13:01,2023-05-28
47.04504,8.322243,08:13:10,2023-05-28
47.04504,8.322347,08:13:20,2023-05-28
47.04502,8.322412,08:13:31,2023-05-28
47.04502,8.322428,08:13:41,2023-05-28
47.04502,8.322458,08:13:51,2023-05-28
47.04502,8.32252,08:14:03,2023-05-28
47.04504,8.322737,08:14:12,2023-05-28
47.04505,8.322954,08:14:22,2023-05-28
47.0451,8.323204,08:14:32,2023-05-28
47.04517,8.323449,08:14:42,2023-05-28
47.04525,8.323689,08:14:52,2023-05-28
47.04533,8.323968,08:15:04,2023-05-28
47.0454,8.324237,08:15:13,2023-05-28
47.04549,8.324518,08:15:23,2023-05-28
47.04556,8.324847,08:15:34,2023-05-28
47.04556,8.325164,08:15:44,2023-05-28
47.04553,8.325486,08:15:54,2023-05-28
47.04546,8.325791,08:16:06,2023-05-28
47.04535,8.326127,08:16:15,2023-05-28
47.04528,8.326448,08:16:25,2023-05-28
47.04519,8.326773,08:16:35,2023-05-28
47.04509,8.327098,08:16:45,2023-05-28
47.045,8.327403,08:16:55,2023-05-28
47.04488,8.327751,08:17:07,2023-05-28
47.04474,8.32803,08:17:16,2023-05-28
47.0446,8.328314,08:17:26,2023-05-28
47.04444,8.328602,08:17:36,2023-05-28
47.04429,8.328905,08:17:47,2023-05-28
47.04416,8.329172,08:17:57,2023-05-28
47.04402,8.329439,08:18:09,2023-05-28
47.04388,8.329761,08:18:18,2023-05-28
47.04376,8.330046,08:18:28,2023-05-28
47.0436,8.330333,08:18:38,2023-05-28
47.04343,8.330583,08:18:48,2023-05-28
47.04322,8.330824,08:18:59,2023-05-28
47.04302,8.331016,08:19:10,2023-05-28
47.04282,8.331175,08:19:19,2023-05-28
47.0426,8.331307,08:19:29,2023-05-28
47.04235,8.331433,08:19:40,2023-05-28
47.04212,8.331518,08:19:50,2023-05-28
47.04188,8.331589,08:20:00,2023-05-28
47.04165,8.331616,08:20:12,2023-05-28
47.04139,8.331694,08:20:21,2023-05-28
47.04116,8.331807,08:20:31,2023-05-28
47.04093,8.331907,08:20:41,2023-05-28
47.04073,8.332047,08:20:51,2023-05-28
47.04049,8.332209,08:21:02,2023-05-28
47.04025,8.332355,08:21:13,2023-05-28
47.04002,8.332502,08:21:22,2023-05-28
47.0398,8.332656,08:21:32,2023-05-28
47.03955,8.332797,08:21:43,2023-05-28
47.03932,8.33291,08:21:53,2023-05-28
47.03908,8.333022,08:22:03,2023-05-28
47.03885,8.333156,08:22:15,2023-05-28
47.03863,8.333304,08:22:23,2023-05-28
47.03838,8.333485,08:22:34,2023-05-28
47.03816,8.333626,08:22:44,2023-05-28
47.03792,8.333754,08:22:54,2023-05-28
47.03769,8.333826,08:23:04,2023-05-28
47.03743,8.333949,08:23:16,2023-05-28
47.0372,8.334125,08:23:25,2023-05-28
47.03699,8.334301,08:23:35,2023-05-28
47.03679,8.334503,08:23:45,2023-05-28
47.03657,8.334732,08:23:56,2023-05-28
47.03639,8.334962,08:24:06,2023-05-28
47.0362,8.335195,08:24:18,2023-05-28
47.03597,8.335426,08:24:27,2023-05-28
47.03575,8.335624,08:24:37,2023-05-28
47.03557,8.335867,08:24:47,2023-05-28
47.0354,8.33612,08:24:57,2023-05-28
47.03518,8.336375,08:25:08,2023-05-28
47.03497,8.336585,08:25:20,2023-05-28
47.03478,8.33679,08:25:28,2023-05-28
47.03458,8.337035,08:25:39,2023-05-28
47.03438,8.337241,08:25:49,2023-05-28
47.03418,8.337421,08:25:59,2023-05-28
47.03399,8.337651,08:26:09,2023-05-28
47.03379,8.337857,08:26:21,2023-05-28
47.03358,8.338109,08:26:30,2023-05-28
47.03337,8.338303,08:26:40,2023-05-28
47.03315,8.338452,08:26:50,2023-05-28
47.03292,8.338623,08:27:01,2023-05-28
47.0327,8.338808,08:27:11,2023-05-28
47.03251,8.339003,08:27:23,2023-05-28
47.03229,8.339207,08:27:32,2023-05-28
47.03208,8.339414,08:27:42,2023-05-28
47.03189,8.339619,08:27:52,2023-05-28
47.03169,8.339809,08:28:02,2023-05-28
47.03146,8.339914,08:28:13,2023-05-28
47.03123,8.339962,08:28:25,2023-05-28
47.03101,8.340047,08:28:33,2023-05-28
47.03077,8.340173,08:28:44,2023-05-28
47.03053,8.340246,08:28:54,2023-05-28
47.0303,8.340258,08:29:04,2023-05-28
47.03007,8.340281,08:29:14,2023-05-28
47.02981,8.340337,08:29:26,2023-05-28
47.02957,8.340327,08:29:35,2023-05-28
47.02933,8.340311,08:29:45,2023-05-28
47.0291,8.34034,08:29:55,2023-05-28
47.02885,8.340412,08:30:06,2023-05-28
47.0286,8.340429,08:30:16,2023-05-28
47.02838,8.340408,08:30:28,2023-05-28
47.02809,8.3404,08:30:37,2023-05-28
47.02784,8.340391,08:30:47,2023-05-28
47.02758,8.3404,08:30:57,2023-05-28
47.02734,8.340424,08:31:07,2023-05-28
47.02706,8.340445,08:31:18,2023-05-28
47.0268,8.340484,08:31:30,2023-05-28
47.02653,8.340527,08:31:38,2023-05-28
47.02623,8.34052,08:31:49,2023-05-28
47.02596,8.34052,08:31:59,2023-05-28
47.02569,8.340547,08:32:09,2023-05-28
47.02544,8.340563,08:32:19,2023-05-28
47.02517,8.340588,08:32:31,2023-05-28
47.02491,8.340561,08:32:40,2023-05-28
47.02465,8.340498,08:32:50,2023-05-28
47.02438,8.340463,08:33:01,2023-05-28
47.02413,8.340467,08:33:11,2023-05-28
47.02387,8.340471,08:33:21,2023-05-28
47.02363,8.340492,08:33:33,2023-05-28
47.02335,8.340554,08:33:42,2023-05-28
47.02311,8.340601,08:33:52,2023-05-28
47.02285,8.340648,08:34:02,2023-05-28
47.0226,8.340682,08:34:12,2023-05-28
47.02231,8.340751,08:34:23,2023-05-28
47.02209,8.340819,08:34:35,2023-05-28
47.02188,8.340919,08:34:43,2023-05-28
47.02163,8.341019,08:34:54,2023-05-28
47.0214,8.341097,08:35:04,2023-05-28
47.02118,8.341184,08:35:14,2023-05-28
47.02096,8.341318,08:35:24,2023-05-28
47.02072,8.341459,08:35:37,2023-05-28
47.02046,8.341569,08:35:46,2023-05-28
47.02024,8.341686,08:35:56,2023-05-28
47.01999,8.341785,08:36:06,2023-05-28
47.01975,8.3419,08:36:16,2023-05-28
47.0195,8.342069,08:36:27,2023-05-28
47.01926,8.342204,08:36:38,2023-05-28
47.01902,8.342339,08:36:47,2023-05-28
47.01877,8.342474,08:36:58,2023-05-28
47.01855,8.342604,08:37:08,2023-05-28
47.01831,8.342693,08:37:18,2023-05-28
47.01807,8.342742,08:37:28,2023-05-28
47.01781,8.342705,08:37:41,2023-05-28
47.01754,8.342644,08:37:50,2023-05-28
47.0173,8.342608,08:38:00,2023-05-28
47.01703,8.342622,08:38:10,2023-05-28
47.01675,8.342685,08:38:20,2023-05-28
47.01648,8.342669,08:38:31,2023-05-28
47.01622,8.342621,08:38:42,2023-05-28
47.01597,8.342596,08:38:51,2023-05-28
47.0157,8.342579,08:39:02,2023-05-28
47.01545,8.342541,08:39:12,2023-05-28
47.0152,8.342526,08:39:22,2023-05-28
47.01495,8.342538,08:39:32,2023-05-28
47.01467,8.342544,08:39:44,2023-05-28
47.01442,8.342503,08:39:53,2023-05-28
47.01415,8.342419,08:40:04,2023-05-28
47.01391,8.34232,08:40:14,2023-05-28
47.01366,8.342219,08:40:24,2023-05-28
47.01346,8.342092,08:40:34,2023-05-28
47.0132,8.341937,08:40:55,2023-05-28
47.01276,8.341654,08:41:05,2023-05-28
47.01251,8.34145,08:41:16,2023-05-28
47.01226,8.341334,08:41:26,2023-05-28
47.01202,8.341247,08:41:36,2023-05-28
47.0118,8.341152,08:41:57,2023-05-28
47.01133,8.341116,08:42:07,2023-05-28
47.01109,8.34107,08:42:17,2023-05-28
47.01087,8.341064,08:42:27,2023-05-28
47.01061,8.341107,08:42:38,2023-05-28
47.01036,8.341137,08:42:49,2023-05-28
47.01011,8.341194,08:42:58,2023-05-28
47.00985,8.34123,08:43:09,2023-05-28
47.00961,8.341292,08:43:19,2023-05-28
47.00938,8.341375,08:43:29,2023-05-28
47.00913,8.341443,08:43:39,2023-05-28
47.0089,8.341459,08:43:51,2023-05-28
47.00865,8.34141,08:44:00,2023-05-28
47.0084,8.341403,08:44:10,2023-05-28
47.00815,8.341419,08:44:21,2023-05-28
47.00792,8.341436,08:44:31,2023-05-28
47.00768,8.34144,08:44:41,2023-05-28
47.00745,8.341514,08:44:53,2023-05-28
47.00719,8.341597,08:45:02,2023-05-28
47.00696,8.341648,08:45:12,2023-05-28
47.00674,8.341684,08:45:22,2023-05-28
47.00653,8.341701,08:45:32,2023-05-28
47.00628,8.341805,08:45:43,2023-05-28
47.00606,8.341934,08:45:55,2023-05-28
47.00581,8.342028,08:46:04,2023-05-28
47.00559,8.342037,08:46:14,2023-05-28
47.00537,8.341967,08:46:24,2023-05-28
47.00517,8.341833,08:46:34,2023-05-28
47.00494,8.341654,08:46:45,2023-05-28
47.00479,8.341404,08:46:57,2023-05-28
47.00462,8.341109,08:47:06,2023-05-28
47.00449,8.340839,08:47:16,2023-05-28
47.00433,8.340568,08:47:26,2023-05-28
47.00419,8.340298,08:47:36,2023-05-28
47.00404,8.339992,08:47:47,2023-05-28
47.00395,8.339765,08:47:59,2023-05-28
47.0039,8.339587,08:48:08,2023-05-28
47.00389,8.33948,08:48:18,2023-05-28
47.00387,8.339401,08:48:28,2023-05-28
47.00386,8.339341,08:48:38,2023-05-28
47.00386,8.339332,08:48:48,2023-05-28
47.00386,8.339314,08:49:01,2023-05-28
47.00386,8.339284,08:49:10,2023-05-28
47.00386,8.339272,08:49:20,2023-05-28
47.00386,8.339262,08:49:30,2023-05-28
47.00386,8.339251,08:49:41,2023-05-28
47.00386,8.339243,08:49:51,2023-05-28
47.00386,8.339237,08:50:03,2023-05-28
47.00386,8.339229,08:50:12,2023-05-28
47.00386,8.339223,08:50:22,2023-05-28
47.00386,8.339218,08:50:32,2023-05-28
47.00386,8.339212,08:50:43,2023-05-28
47.00386,8.339208,08:50:53,2023-05-28
47.00386,8.339204,08:51:05,2023-05-28
47.00386,8.339177,08:51:14,2023-05-28
47.00385,8.339148,08:51:24,2023-05-28
47.00384,8.339112,08:51:34,2023-05-28
47.00383,8.339072,08:51:45,2023-05-28
47.00382,8.339037,08:51:55,2023-05-28
47.00381,8.339005,08:52:07,2023-05-28
47.0038,8.338973,08:52:16,2023-05-28
47.00379,8.338935,08:52:27,2023-05-28
47.00378,8.3389,08:52:37,2023-05-28
47.00377,8.338874,08:52:47,2023-05-28
47.00377,8.338851,08:52:57,2023-05-28
47.00376,8.338826,08:53:10,2023-05-28
47.00375,8.338793,08:53:19,2023-05-28
47.00374,8.338763,08:53:29,2023-05-28
47.00374,8.338725,08:53:39,2023-05-28
47.00372,8.338676,08:53:50,2023-05-28
47.00371,8.338623,08:54:00,2023-05-28
47.00369,8.338574,08:54:12,2023-05-28
47.00367,8.338532,08:54:21,2023-05-28
47.00366,8.338497,08:54:31,2023-05-28
47.00365,8.338467,08:54:41,2023-05-28
47.00364,8.338438,08:54:51,2023-05-28
47.00363,8.338411,08:55:02,2023-05-28
47.00362,8.338392,08:55:14,2023-05-28
47.00361,8.338369,08:55:22,2023-05-28
47.0036,8.338337,08:55:33,2023-05-28
47.00359,8.338281,08:55:43,2023-05-28
47.00356,8.338183,08:55:53,2023-05-28
47.00351,8.33807,08:56:03,2023-05-28
47.00349,8.338002,08:56:15,2023-05-28
47.00348,8.337976,08:56:24,2023-05-28
47.00348,8.33796,08:56:34,2023-05-28
47.00347,8.337946,08:56:45,2023-05-28
47.00347,8.337891,08:56:55,2023-05-28
47.00345,8.337806,08:57:05,2023-05-28
47.00335,8.337569,08:57:17,2023-05-28
47.00317,8.337276,08:57:26,2023-05-28
47.003,8.336986,08:57:36,2023-05-28
47.00287,8.336675,08:57:46,2023-05-28
47.00276,8.336314,08:57:57,2023-05-28
47.00264,8.33601,08:58:07,2023-05-28
47.0025,8.335717,08:58:19,2023-05-28
47.00233,8.335389,08:58:28,2023-05-28
47.0022,8.335091,08:58:38,2023-05-28
47.00205,8.334815,08:58:48,2023-05-28
47.00188,8.334592,08:58:58,2023-05-28
47.00169,8.334337,08:59:09,2023-05-28
47.00152,8.334073,08:59:20,2023-05-28
47.00138,8.333818,08:59:29,2023-05-28
47.00123,8.333535,08:59:39,2023-05-28
47.00111,8.3332,08:59:50,2023-05-28
47.00099,8.332887,09:00:00,2023-05-28
47.00088,8.332573,09:00:10,2023-05-28
47.00078,8.332253,09:00:22,2023-05-28
47.00065,8.331924,09:00:31,2023-05-28
47.00052,8.331619,09:00:41,2023-05-28
47.0004,8.33131,09:00:51,2023-05-28
47.00031,8.330963,09:01:02,2023-05-28
47.00026,8.330607,09:01:12,2023-05-28
47.00019,8.330249,09:01:24,2023-05-28
47.0001,8.329878,09:01:33,2023-05-28
47.00003,8.329545,09:01:43,2023-05-28
47.0,8.329202,09:01:53,2023-05-28
47.00001,8.328847,09:02:03,2023-05-28
47.00008,8.328486,09:02:14,2023-05-28
47.00018,8.328132,09:02:25,2023-05-28
47.00027,8.327789,09:02:34,2023-05-28
47.00036,8.327417,09:02:45,2023-05-28
47.00045,8.327076,09:02:55,2023-05-28
47.00057,8.326761,09:03:05,2023-05-28
47.00069,8.326449,09:03:15,2023-05-28
47.00082,8.326134,09:03:27,2023-05-28
47.00096,8.325793,09:03:36,2023-05-28
47.00109,8.325489,09:03:46,2023-05-28
47.00124,8.325189,09:03:56,2023-05-28
47.00138,8.324857,09:04:07,2023-05-28
47.00149,8.324535,09:04:17,2023-05-28
47.00161,8.324223,09:04:29,2023-05-28
47.00178,8.323947,09:04:37,2023-05-28
47.00197,8.323648,09:04:48,2023-05-28
47.00211,8.323366,09:04:58,2023-05-28
47.00224,8.323077,09:05:08,2023-05-28
47.00236,8.322766,09:05:18,2023-05-28
47.0025,8.322434,09:05:30,2023-05-28
47.00266,8.322168,09:05:39,2023-05-28
47.00286,8.321919,09:05:49,2023-05-28
47.00305,8.321677,09:05:59,2023-05-28
47.00321,8.321398,09:06:09,2023-05-28
47.00338,8.321095,09:06:20,2023-05-28
47.00357,8.320878,09:06:32,2023-05-28
47.00377,8.320687,09:06:40,2023-05-28
47.00401,8.320507,09:06:51,2023-05-28
47.00423,8.320319,09:07:01,2023-05-28
47.00441,8.320072,09:07:11,2023-05-28
47.00459,8.319816,09:07:21,2023-05-28
47.00477,8.319585,09:07:33,2023-05-28
47.00499,8.319393,09:07:42,2023-05-28
47.00521,8.319215,09:07:52,2023-05-28
47.00541,8.318981,09:08:03,2023-05-28
47.00561,8.318775,09:08:13,2023-05-28
47.00582,8.318617,09:08:23,2023-05-28
47.00604,8.318483,09:08:35,2023-05-28
47.0063,8.318372,09:08:44,2023-05-28
47.00652,8.318291,09:08:54,2023-05-28
47.00675,8.318239,09:09:04,2023-05-28
47.007,8.318202,09:09:14,2023-05-28
47.00724,8.318117,09:09:25,2023-05-28
47.00746,8.318018,09:09:36,2023-05-28
47.00768,8.317926,09:09:45,2023-05-28
47.0079,8.317805,09:09:55,2023-05-28
47.00811,8.317638,09:10:05,2023-05-28
47.00826,8.317361,09:10:16,2023-05-28
47.00834,8.317078,09:10:26,2023-05-28
47.00836,8.316759,09:10:38,2023-05-28
47.0083,8.316403,09:10:47,2023-05-28
47.0082,8.316103,09:10:57,2023-05-28
47.0081,8.315808,09:11:07,2023-05-28
47.00799,8.315498,09:11:17,2023-05-28
47.0079,8.315146,09:11:28,2023-05-28
47.00784,8.31483,09:11:39,2023-05-28
47.00776,8.314515,09:11:48,2023-05-28
47.00765,8.314165,09:11:59,2023-05-28
47.00755,8.313859,09:12:09,2023-05-28
47.00744,8.313539,09:12:19,2023-05-28
47.00733,8.313224,09:12:29,2023-05-28
47.00721,8.312878,09:12:41,2023-05-28
47.00709,8.312569,09:12:50,2023-05-28
47.00696,8.312244,09:13:01,2023-05-28
47.00682,8.311962,09:13:11,2023-05-28
47.00668,8.311696,09:13:21,2023-05-28
47.00653,8.311452,09:13:31,2023-05-28
47.00635,8.311196,09:13:43,2023-05-28
47.0062,8.310959,09:13:52,2023-05-28
47.00606,8.310721,09:14:02,2023-05-28
47.00591,8.310474,09:14:12,2023-05-28
47.00572,8.310218,09:14:23,2023-05-28
47.00553,8.309994,09:14:33,2023-05-28
47.00535,8.309831,09:14:45,2023-05-28
47.00511,8.309677,09:14:54,2023-05-28
47.0049,8.309581,09:15:04,2023-05-28
47.00466,8.309547,09:15:14,2023-05-28
47.00443,8.309514,09:15:24,2023-05-28
47.00418,8.30951,09:15:35,2023-05-28
47.00396,8.309564,09:15:46,2023-05-28
47.00374,8.309712,09:15:55,2023-05-28
47.00359,8.309871,09:16:05,2023-05-28
47.00339,8.310071,09:16:16,2023-05-28
47.00321,8.31024,09:16:26,2023-05-28
47.00303,8.310389,09:16:36,2023-05-28
47.00284,8.310603,09:16:48,2023-05-28
47.00267,8.310844,09:16:57,2023-05-28
47.00251,8.311036,09:17:07,2023-05-28
47.00231,8.31124,09:17:17,2023-05-28
47.00214,8.311461,09:17:27,2023-05-28
47.00196,8.311686,09:17:38,2023-05-28
47.00178,8.311855,09:17:50,2023-05-28
47.00159,8.312009,09:17:58,2023-05-28
47.00136,8.31215,09:18:09,2023-05-28
47.00115,8.312263,09:18:19,2023-05-28
47.00094,8.31239,09:18:29,2023-05-28
